客户名称,访问次数,访问客户个数,b2c接口访问次数
Android路况通,339,38,
,,,图示路况44
,,,版本管理29
,,,NoneAndroid路况通81
,,,高速公路列表5
,,,道路路况新11
,,,出行信息提示44
,,,终端注册21
,,,版本升级服务10
,,,高速公路交通信息查询35
,,,城市列表11
,,,随车秘书48
乐行汽车,0,0,
优途,0,0,
东风裕隆,622,14,
,,,DTI基础路况297
,,,城市列表13
,,,随车秘书312
美行-吉利项目,0,0,
车音网,0,0,
车托帮,0,0,
梦擎2,0,0,
斯润天朗-众泰,0,0,
四海万联,0,0,
福信福通,0,0,
科达讯飞,0,0,
上海梦擎,0,0,
美赛达,0,0,
美行-赛格,0,0,
前海智云谷,0,0,
中交兴路,0,0,
四维TSP,0,0,
testwrq,0,0,
测试,48,1,
,,,图示路况48
迪恩杰,0,0,
拨测,2544,3,
,,,图示路况2208
,,,DTI基础路况96
,,,路况问答48
,,,城市列表96
,,,随车秘书96
悦驾科技,0,0,
飞驰镁物,0,0,
汽车小子,0,0,
美行-马自达,541,42,
,,,位置信息上传297
,,,终端注册123
,,,交叉口列表1
,,,城市列表120
美行-航盛东风裕隆,0,0,
车旺大卡,129,49,
,,,高速公路列表21
,,,高速公路交通信息查询87
,,,终端注册21
美行-路畅,0,0,
testzhang,0,0,
机场达人(航旅纵横),504,1,
,,,图示路况504
iphone路况通,142,17,
,,,出行信息提示15
,,,图示路况14
,,,随车秘书72
,,,高速公路列表5
,,,天气服务14
,,,终端注册6
,,,关键字模糊查询2
,,,Noneiphone路况通14
远特科技,0,0,
众泰汽车,17,2,
,,,位置信息上传16
,,,终端注册1
车联天下,0,0,
美行-后装,0,0,
车友互联,0,0,
美行马自达测试,0,0,
